name,grams,kcal
"Egg, økologisk, kokt",88,143
"Egg, økologisk, stekt",100,205
"Eggerøre, stekt i fett",100,234
"Eggerøre, stekt uten fett",100,159
"Omelett, stekt i fett",100,184
"Omelett, stekt uten fett",100,162
,,
Fjørfe og kjøtt,,
Fjørfe,,
"Fjørfe, rå",,
"And, kjøtt med skinn, rå",100,388
"And, kjøtt uten skinn, rå",100,132
"Gås, kjøtt med skinn, rå",100,366
"Gås, kjøtt uten skinn, rå",100,155
"Høne, bryst, filet, uten skinn, rå",100,106
"Høne, kjøtt med skinn, rå",100,264
"Høne, kjøtt uten skinn, rå",100,141
"Kalkun, bryst, filet, uten skinn, rå",100,114
"Kalkun, kjøtt med skinn, rå",100,133
"Kalkun, kjøtt uten skinn, rå",100,105
"Kylling, filet, uten skinn, rå",100,111
"Kylling, hel, med skinn, landkylling, rå",71,179
"Kylling, hel, med skinn, rå",71,182
"Kylling, hel, uten skinn, rå",66,107
"Kylling, lår (overlår og lårklubbe), med skinn, rå",78,171
"Kylling, lår (overlår og lårklubbe), uten skinn, rå",74,131
"Kylling, lårklubbe (underlår), med skinn, rå",69,149
"Kylling, lårklubbe (underlår), uten skinn, rå",66,114
"Kylling, overlår (lår uten lårklubbe), med skinn, rå",85,194
"Kylling, overlår (lår uten lårklubbe), uten skinn,  rå",82,147
"Kyllingskinn, rå",100,383
"Rype, bryst, uten skinn, rå",100,122
,,
"Fjørfe, tilberedt",,
"And, kjøtt med skinn, ovnsstekt",100,517
"And, kjøtt uten skinn, ovnsstekt",100,176
"Gås, kjøtt med skinn, ovnsstekt",100,488
"Gås, kjøtt uten skinn, ovnsstekt",100,207
"Høne, filet, kokt",100,154
"Høne, kjøtt med skinn, kokt",100,382
"Kalkun, brystfilet, uten skinn, ovnsstekt",100,143
"Kalkun, kjøtt med skinn, ovnsstekt",100,177
"Kalkun, kjøtt uten skinn, ovnsstekt",100,131
"Kylling, filet, kokt",100,160
"Kylling, filet, stekt i fett",100,156
"Kylling, hel, med skinn, landkylling, ovnsstekt",M,224
"Kylling, hel, med skinn, ovnsstekt",73,206
"Kylling, hel, uten skinn, ovnsstekt",70,132
"Kylling, lår (overlår og lårklubbe), med skinn, ovnsstekt",77,235
"Kylling, lår (overlår og lårklubbe), uten skinn, ovnsstekt",74,184
"Kylling, lårklubbe (underlår), med skinn, ovnsstekt",68,207
"Kylling, lårklubbe (underlår), uten skinn, ovnsstekt",65,161
"Kylling, overlår (lår uten lårklubbe), med skinn, ovnsstekt",85,263
"Kylling, overlår (lår uten lårklubbe), uten skinn, ovnsstekt",82,201
"Rype, bryst uten skinn, ovnsstekt",100,174
,,
"Lam, får",,
"Lam, får, rå",,
Fenalår,100,263
"Lam, bogstek, rå",98,187
"Lam, fett fra lammekjøtt, rå",100,702
"Lam, flatbiff, rå",100,104
"Lam, fårikålkjøtt, rå",80,230
"Lam, grytekjøtt, rå",98,192
"Lam, indrefilet, rå",100,116
"Lam, kotelett og sadel, kjøtt med fettrand, rå",73,257
"Lam, kotelett og sadel, kjøtt uten fettrand, rå",58,145
"Lam, lår med mørbrad, rå",79,181
"Lam, lår, stek, rå",98,162
"Lam, ribbe, side med ben, rå",87,285
"Lam, sadel, rå",79,227
"Lam, ytrefilet, rå",100,120
Lammerull,100,251
"Pinnekjøtt, råvare",77,452
"Sau, fårekjøtt, lettsaltet, rå",83,371
,,
"Lam, får, tilberedt",,
"Lam, kotelett, stekt",72,303
"Lam, lårstek med mørbrad, ovnsstekt",100,231
,,
"Storfe, kalv",,
"Storfe, kalv, rå",,
"Kalv, koteletter, rå",73,117
"Kalv, stek, rå",79,107
"Storfe, bankekjøtt, rå",100,124
"Storfe, bibringe, rå",79,209
"Storfe, bog, uten knoke, rå",83,160
"Storfe, bogstek, rå",100,120
"Storfe, entrecôte, synlig fett skåret vekk, rå",84,141
"Storfe, entrecôtekam, rå",78,200
"Storfe, fett fra storfekjøtt, rå",100,732
"Storfe, filetkam, rå",79,165
"Storfe, flatbiff, rå",100,105
"Storfe, høyrygg, rå",80,162
"Storfe, indrefilet, rå",100,118
"Storfe, kam, rå",100,162
"Storfe, kotelettkam, rå",75,170
"Storfe, mørbrad, rå",100,109
"Storfe, rundstek, rå",100,107
"Storfe, ytrefilet, rå",100,109
,,
"Storfe, kalv, tilberedt",,
"Bankekjøtt, salt",100,102
"Storfe, entrecôtekam, stekt",71,267
"Storfe, kjøtt, kokt",100,229
"Storfe, stek, roastbiff, rosa stekt",100,151
"Storfe, ytrefilet, stekt",100,124
,,
Svin,,
"Svin, rå",,
"Svin, 70 % skinke, 30 % flatbiff, strimlet, rå",100,122
"Svin, bacon med svor, rå",100,339
"Svin, bogstek, kjøtt uten fettrand, rå",86,144
"Svin, bogstek, med fettrand, rå",100,220
"Svin, familieribbe, rå",86,328
"Svin, fettrand, rå",100,741
"Svin, flatbiff, rå",100,103
"Svin, grillben, rå",51,247
"Svin, indrefilet, rå",100,116
"Svin, kjøtt fra knoke, rå",51,151
"Svin, kotelett, kam, svinekotelett, uten fettrand, rå",67,168
"Svin, kotelett, kam, svinekoteletter, inntil 5 mm fettrand, rå",77,243
"Svin, midtribbe, med kam og svor, rå",86,328
"Svin, mørbrad, rå",79,215
"Svin, nakkekoteletter, rå",83,225
"Svin, sideflesk, lettsaltet, rå",100,301
"Svin, sideflesk, uten ben, rå",93,384
"Svin, skinke, med knoke, rå",86,219
"Svin, skinkestek med fettrand, uten svor, rå",100,221
"Svin, skinkestek, rå",85,130
"Svin, tynnribbe, med svor, rå",87,371
